,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,slam_code,Sex
1,6,0,44,12,56,7,1.0,3.0,19.0,23.0,6.0,5.0,20.0,12.0,56,21,44,10,0.0,6.0,15.0,25.0,13.0,8.0,30.0,20.0,4,1
9,1,0,71,48,29,14,0.0,1.0,0.0,1.0,5.0,12.0,9.0,9.5,52,45,48,30,11.0,4.0,11.0,4.0,8.0,10.0,9.0,9.0,1,1
76,2,1,57,67,43,41,14.0,2.0,63.0,40.0,6.0,18.0,24.0,39.0,63,64,37,37,7.0,5.0,46.0,40.0,3.0,9.0,19.0,32.0,2,2
99,3,1,61,23,39,10,4.0,2.0,18.0,23.0,5.0,8.0,3.0,5.0,77,24,23,3,0.0,1.0,7.0,31.0,1.0,3.0,3.0,4.0,1,1
86,2,0,68,47,32,17,6.0,3.0,29.0,25.0,2.0,4.0,37.0,61.0,62,45,38,23,8.0,3.0,43.0,24.0,4.0,11.0,17.0,21.0,1,2
65,2,0,53,45,47,26,5.0,5.0,31.0,44.0,3.0,10.0,24.0,38.0,54,47,46,36,14.0,1.0,46.0,34.0,5.0,8.0,14.0,18.0,1,2
96,3,1,62,26,38,10,1.0,5.0,20.0,12.0,8.0,6.0,8.0,7.0,60,21,40,14,0.0,2.0,24.0,18.0,7.0,4.0,27.0,19.0,3,1
81,2,0,75,53,25,11,19.0,1.0,33.0,10.0,1.0,1.0,20.0,13.0,58,40,42,26,15.0,1.0,55.0,10.0,11.0,4.0,29.0,20.0,3,2
40,1,0,62,30,38,17,1.0,6.0,23.0,39.0,2.0,9.0,24.0,27.0,54,37,46,24,3.0,3.0,27.0,36.0,4.0,10.0,6.0,14.0,2,1
2,1,0,52,53,48,20,8.0,4.0,37.0,50.0,1.0,9.0,16.0,23.0,77,57,23,15,9.0,1.0,41.0,41.0,4.0,13.0,12.0,16.0,1,2
119,5,1,58,71,42,36,17.0,5.0,51.0,60.0,5.0,10.0,20.0,30.0,73,75,27,23,7.0,1.0,45.0,60.0,4.0,7.0,26.0,35.0,1,2
83,2,1,52,26,48,21,1.0,2.0,15.0,21.0,3.0,7.0,1.0,3.0,61,31,39,11,4.0,4.0,17.0,38.0,2.0,6.0,1.0,3.0,2,1
92,1,1,60,51,40,25,9.0,5.0,35.0,29.0,3.0,7.0,25.0,36.0,63,52,37,21,12.0,6.0,36.0,30.5,1.0,2.0,37.0,59.0,4,2
42,1,1,69,48,31,17,15.0,0.0,15.0,0.0,5.0,8.0,17.0,22.0,60,43,40,18,11.0,4.0,11.0,4.0,2.0,4.0,18.0,22.0,1,2
20,1,1,52,38,48,27,8.0,5.0,35.0,29.0,8.0,17.0,17.0,22.0,47,44,53,27,18.0,14.0,36.0,30.5,5.0,12.0,18.0,22.0,4,2
95,1,0,60,49,40,26,1.0,6.0,35.0,29.0,4.0,14.0,12.0,15.0,57,49,43,28,11.0,3.0,36.0,30.5,5.0,15.0,12.0,24.0,4,2
27,1,1,64,24,36,8,4.0,3.0,15.0,16.0,4.0,8.0,5.0,5.0,62,17,38,10,2.0,4.0,9.0,31.0,0.0,0.0,1.0,1.0,1,1
74,1,0,63,12,37,3,0.0,4.0,6.0,26.0,2.0,0.0,4.0,0.0,78,21,22,4,1.0,1.0,9.0,12.0,12.0,6.0,10.0,8.0,4,1
17,1,0,53,50,47,28,21.0,12.0,21.0,12.0,4.0,6.0,17.0,22.0,58,52,42,37,3.0,3.0,3.0,3.0,7.0,11.0,18.0,22.0,1,2
123,5,1,66,42,34,12,4.0,5.0,37.0,28.0,6.0,16.0,12.0,20.0,77,28,23,7,1.0,1.0,19.0,24.0,4.0,9.0,3.0,6.0,2,1
98,3,1,73,39,27,13,4.0,5.0,16.0,24.0,5.0,12.0,12.0,20.0,70,35,30,16,2.0,2.0,28.0,39.0,4.0,7.0,20.0,25.0,2,1
61,1,0,64,82,36,36,9.0,6.0,35.0,29.0,4.0,11.0,35.0,46.0,63,90,37,29,38.0,8.0,36.0,30.5,3.0,11.0,48.0,81.0,4,2
11,4,0,66,8,34,3,0.0,4.0,7.0,22.0,3.0,2.0,6.0,3.0,58,17,42,8,3.0,2.0,20.0,12.0,7.0,7.0,12.0,10.0,4,1
71,2,1,66,83,34,36,17.0,2.0,72.0,17.0,7.0,2.0,96.0,61.0,72,91,28,24,16.0,1.0,57.0,13.0,8.0,1.0,54.0,35.0,3,2
43,1,1,71,45,29,13,19.0,5.0,54.0,18.0,12.0,4.0,27.0,17.0,64,42,36,18,4.0,2.0,23.0,13.0,1.0,0.0,25.0,16.0,3,2
15,3,0,54,9,46,5,1.0,5.0,3.0,24.0,1.0,0.0,8.0,3.0,81,23,19,3,3.0,1.0,13.0,8.0,7.0,6.0,5.0,4.0,4,1
71,1,1,59,32,41,10,2.0,5.0,24.0,35.0,13.0,6.0,8.0,5.0,69,28,31,6,0.0,3.0,14.0,43.0,9.0,4.0,14.0,9.0,4,1
11,1,1,78,46,22,9,6.0,2.0,19.0,20.0,14.0,6.0,9.0,7.0,58,33,42,17,4.0,12.0,17.0,44.0,1.0,1.0,21.0,14.0,3,2
100,1,1,57,36,43,15,8.0,4.0,35.0,29.0,6.0,14.0,19.0,24.0,65,27,35,9,1.0,0.0,36.0,30.5,0.0,1.0,9.0,18.0,4,2
18,1,0,65,23,35,8,2.0,2.0,16.0,16.0,3.0,0.0,8.0,4.0,63,34,37,11,9.0,3.0,26.0,19.0,2.0,2.0,9.0,6.0,3,1
117,4,1,69,27,31,13,1.0,5.0,16.0,28.0,7.0,14.0,2.0,2.0,66,31,34,12,3.0,8.0,27.0,45.0,5.0,10.0,8.0,10.0,1,1
49,1,1,68,35,32,8,10.0,4.0,10.0,4.0,4.0,12.0,9.0,9.5,60,24,40,16,1.0,1.0,1.0,1.0,1.0,5.0,9.0,9.0,1,1
94,2,0,69,30,31,14,2.0,1.0,32.0,50.0,6.0,9.0,7.0,9.0,67,38,33,5,2.0,5.0,18.0,34.0,8.0,15.0,9.0,12.0,1,1
17,1,1,68,46,32,15,1.0,5.0,16.0,42.0,6.0,5.0,14.0,8.0,65,32,35,15,3.0,2.0,33.0,51.0,16.0,7.0,13.0,10.0,3,1
92,3,0,69,63,31,23,3.0,6.0,44.0,45.0,11.0,3.0,30.0,23.0,60,65,40,34,9.0,1.0,44.0,28.0,12.0,6.0,32.0,26.0,3,2
49,1,1,78,52,22,9,0.0,3.0,25.0,32.0,4.0,12.0,5.0,6.0,70,52,30,10,2.0,3.0,31.0,39.0,5.0,9.0,7.0,13.0,2,1
29,1,0,60,30,40,18,5.0,2.0,17.0,32.0,2.0,3.0,12.0,19.0,49,25,51,21,3.0,4.0,35.0,30.0,6.0,15.0,13.0,19.0,2,1
4,1,0,68,61,32,15,7.0,2.0,32.0,29.0,2.0,0.0,29.0,20.0,67,53,33,17,9.0,3.0,40.0,26.0,21.0,3.0,44.0,30.0,3,2
8,4,0,75,22,25,8,1.0,1.0,18.0,32.0,10.0,3.0,15.0,10.0,45,23,55,16,2.0,3.0,22.0,23.0,6.0,5.0,22.0,16.0,4,1
76,2,0,48,17,52,17,2.0,7.0,12.0,42.0,3.0,1.0,13.0,6.0,55,23,45,19,0.0,3.0,10.0,30.0,7.0,3.0,10.0,8.0,3,1
101,4,1,57,68,43,36,16.0,8.0,54.0,26.0,9.0,3.0,42.0,28.0,71,76,29,28,11.0,3.0,57.0,19.0,12.0,3.0,50.0,32.0,3,2
4,1,1,58,54,42,30,21.0,3.0,35.0,29.0,5.0,16.0,17.0,22.0,61,63,39,30,8.0,2.0,36.0,30.5,0.0,3.0,18.0,22.0,4,2
121,5,1,64,41,36,22,11.0,0.0,46.0,25.0,5.0,12.0,22.0,27.0,60,48,40,21,4.0,5.0,19.0,34.0,2.0,2.0,2.0,17.0,2,2
62,1,1,69,53,31,20,5.0,0.0,26.0,31.0,3.0,11.0,13.0,21.0,61,46,39,25,7.0,2.0,32.0,38.0,1.0,2.0,15.0,26.0,2,2
60,1,0,65,70,35,30,18.0,2.0,43.0,17.0,3.0,1.0,49.0,26.0,66,66,34,22,10.0,6.0,60.0,30.0,17.0,3.0,63.0,43.0,3,2
17,1,1,53,25,47,15,5.0,5.0,27.0,44.0,10.0,20.0,7.0,14.0,71,31,29,10,1.0,4.0,29.0,47.0,8.0,13.0,9.0,17.0,1,1
17,1,0,55,53,45,32,5.0,7.0,56.0,41.0,4.0,5.0,19.0,35.0,65,59,35,21,5.0,4.0,38.0,20.0,6.0,19.0,11.0,16.0,2,2
17,3,0,58,22,42,8,3.0,6.0,17.0,35.0,5.0,3.0,17.0,9.0,51,25,49,16,0.0,0.0,14.0,23.0,16.0,5.0,17.0,12.0,4,1
22,1,0,80,21,20,2,2.0,1.0,23.0,38.0,3.0,7.0,9.0,23.0,82,26,18,3,1.0,0.0,10.0,13.0,7.0,10.0,10.0,14.0,1,1
30,1,1,60,34,40,16,11.0,6.0,43.0,18.0,11.0,7.0,37.0,28.0,69,28,31,9,5.0,2.0,20.0,21.0,3.0,2.0,9.0,4.0,3,2
3,1,0,52,41,48,19,13.0,8.0,35.0,29.0,2.0,9.0,17.0,22.0,55,52,45,27,16.0,3.0,36.0,30.5,6.0,9.0,18.0,22.0,4,2
70,2,0,70,28,30,7,0.0,2.0,10.0,14.0,2.0,2.0,5.0,7.0,57,22,43,15,1.0,1.0,30.0,25.0,5.0,13.0,10.0,13.0,2,1
80,2,0,61,9,39,6,1.0,1.0,10.0,17.0,0.0,0.0,6.0,3.0,44,15,56,13,0.0,3.0,13.0,7.0,9.0,5.0,6.0,4.0,3,1
87,2,1,65,23,35,11,2.0,1.0,14.0,5.0,5.0,8.0,5.0,7.0,73,17,27,5,1.0,0.0,23.0,28.0,2.0,5.0,9.0,19.0,2,1
48,2,0,52,13,48,10,3.0,2.0,3.0,2.0,0.0,0.0,9.0,9.5,55,21,45,11,4.0,2.0,4.0,2.0,5.0,4.0,9.0,9.0,4,1
66,2,1,57,41,43,26,4.0,1.0,54.0,41.0,10.0,17.0,16.0,22.0,56,37,44,19,2.0,4.0,23.0,39.0,2.0,5.0,8.0,14.0,2,2
84,2,0,63,66,37,24,12.0,8.0,12.0,8.0,3.0,4.0,17.0,22.0,58,49,42,34,16.0,5.0,16.0,5.0,5.0,14.0,18.0,22.0,1,2
4,1,0,73,34,27,12,2.0,2.0,24.0,28.0,4.0,1.0,12.0,7.0,66,33,34,15,6.0,0.0,31.0,19.0,9.0,3.0,35.0,24.0,3,1
24,1,0,68,9,32,3,0.0,1.0,12.0,18.0,5.0,1.0,15.0,8.0,72,29,28,2,3.0,3.0,12.0,7.0,8.0,6.0,9.0,6.0,3,1
14,1,0,51,14,49,12,2.0,3.0,8.0,36.0,3.0,5.0,5.0,11.0,61,23,39,7,2.0,0.0,15.0,23.0,6.0,7.0,7.0,12.0,1,1
87,2,0,56,9,44,3,0.0,5.0,8.0,12.0,4.0,2.0,10.0,6.0,69,20,31,11,3.0,2.0,22.0,10.0,6.0,6.0,12.0,12.0,3,1
26,1,1,63,33,37,17,1.0,0.0,25.0,8.0,7.0,12.0,11.0,20.0,46,19,54,11,3.0,4.0,13.0,27.0,1.0,5.0,7.0,22.0,2,2
86,1,1,55,63,45,34,9.0,2.0,35.0,29.0,5.0,17.0,17.0,22.0,55,67,45,30,15.0,8.0,36.0,30.5,4.0,10.0,18.0,22.0,4,2
83,2,1,64,51,36,18,14.0,6.0,47.0,28.0,3.0,9.0,16.0,24.0,45,31,55,34,9.0,5.0,19.0,29.0,1.0,4.0,13.0,18.0,1,2
37,1,1,72,25,28,8,2.0,4.0,22.0,30.0,15.0,5.0,5.0,3.0,61,23,39,11,2.0,2.0,15.0,27.0,5.0,3.0,9.0,8.0,3,1
0,1,0,59,29,41,14,5.0,1.0,26.0,18.0,5.0,1.0,28.0,19.0,57,39,43,20,11.0,2.0,38.0,16.0,10.0,5.0,23.0,17.0,3,2
31,1,0,66,91,34,33,11.0,2.0,72.0,57.0,1.0,5.0,35.0,50.0,72,104,28,27,26.0,3.0,66.0,44.0,3.0,8.0,15.0,21.0,2,2
100,3,0,65,28,35,10,3.0,3.0,28.0,32.0,6.0,16.0,7.0,10.0,69,40,31,11,0.0,10.0,41.0,31.0,9.0,20.0,23.0,32.0,2,1
57,1,0,63,38,37,17,6.0,3.0,36.0,34.0,1.0,11.0,14.0,15.0,71,51,29,19,5.0,3.0,27.0,22.0,3.0,5.0,14.0,25.0,2,2
54,1,1,62,17,48,11,2.0,2.0,16.0,17.0,9.0,7.0,7.0,4.0,63,13,47,4,0.0,5.0,8.0,22.0,5.0,2.0,5.0,3.0,4,1
26,1,0,62,16,38,10,3.0,3.0,16.0,12.0,3.0,1.0,13.0,9.0,77,28,23,7,1.0,0.0,18.0,9.0,6.0,4.0,7.0,5.0,3,1
83,2,0,63,34,37,10,1.0,4.0,23.0,47.0,2.0,2.0,9.0,10.0,58,29,42,16,0.0,3.0,10.0,19.0,6.0,15.0,1.0,2.0,1,1
28,1,1,76,44,24,15,2.0,2.0,33.0,28.0,12.0,3.0,15.0,6.0,72,43,28,13,7.0,6.0,34.0,46.0,6.0,1.0,25.0,16.0,3,1
28,1,0,59,43,41,25,2.0,5.0,26.0,21.0,2.0,2.0,25.0,14.0,63,51,37,18,26.0,3.0,64.0,21.0,13.0,6.0,33.0,21.0,3,2
8,1,0,79,15,21,3,0.0,1.0,8.0,20.0,0.0,1.0,4.0,7.0,59,19,41,12,1.0,0.0,21.0,18.0,5.0,8.0,7.0,10.0,2,1
38,2,1,46,14,54,18,2.0,2.0,10.0,18.0,12.0,5.0,5.0,5.0,74,21,26,6,0.0,4.0,14.0,27.0,2.0,2.0,7.0,5.0,4,1
35,1,0,58,40,42,17,3.0,11.0,35.0,29.0,2.0,10.0,16.0,25.0,65,45,35,13,9.0,4.0,36.0,30.5,6.0,16.0,12.0,20.0,4,2
19,1,0,61,35,39,20,6.0,3.0,6.0,3.0,2.0,7.0,9.0,9.5,59,37,41,21,3.0,4.0,3.0,4.0,4.0,8.0,9.0,9.0,1,1
105,3,1,72,54,28,11,7.0,5.0,35.0,23.0,4.0,10.0,14.0,17.0,53,32,47,21,6.0,4.0,36.0,38.0,0.0,3.0,18.0,29.0,1,2
58,1,0,55,51,45,22,14.0,2.0,44.0,50.0,3.0,7.0,8.0,11.0,51,47,49,28,8.0,6.0,38.0,42.0,4.0,8.0,7.0,13.0,2,2
96,3,0,65,41,35,10,5.0,1.0,14.0,26.0,1.0,1.0,3.0,9.0,63,38,37,20,6.0,1.0,31.0,23.0,5.0,8.0,16.0,21.0,1,2
17,1,0,69,18,31,7,2.0,1.0,13.0,24.0,0.0,3.0,5.0,11.0,83,28,17,5,1.0,1.0,19.0,13.0,5.0,11.0,5.0,7.0,2,1
45,1,1,51,38,49,23,5.0,13.0,27.0,47.0,4.0,12.0,3.0,7.0,63,35,37,12,2.0,3.0,13.0,34.0,2.0,7.0,4.0,4.0,1,1
122,5,1,73,66,27,22,3.0,7.0,42.0,47.0,4.0,11.0,32.0,36.0,58,64,42,32,16.0,5.0,54.0,61.0,3.0,6.0,28.0,41.0,1,2
2,1,1,62,53,38,15,4.0,6.0,42.0,55.0,10.0,22.0,14.0,32.0,46,42,54,31,6.0,8.0,39.0,54.0,10.0,18.0,19.0,27.0,2,2
58,1,0,67,56,33,18,11.0,6.0,38.0,56.0,1.0,4.0,13.0,15.0,73,58,27,16,0.0,5.0,34.0,33.0,2.0,7.0,29.0,40.0,1,2
15,1,1,48,35,52,25,8.0,4.0,35.0,29.0,6.0,9.0,16.0,24.0,54,30,46,15,3.0,8.0,36.0,30.5,2.0,9.0,10.0,18.0,4,2
68,2,0,77,48,23,11,6.0,1.0,39.0,43.0,4.0,5.0,9.0,12.0,58,41,42,21,9.0,5.0,33.0,37.0,6.0,11.0,10.0,15.0,1,2
88,2,1,65,28,35,10,4.0,1.0,24.0,10.0,6.0,5.0,10.0,8.0,74,14,26,4,2.0,2.0,10.0,17.0,4.0,1.0,15.0,5.0,3,1
96,3,1,65,61,35,20,7.0,4.0,32.0,36.0,4.0,10.0,13.0,21.0,59,43,41,27,6.0,4.0,34.0,56.0,2.0,9.0,20.0,29.0,2,2
0,1,0,62,27,38,11,1.0,3.0,12.0,29.0,1.0,3.0,9.0,20.0,68,33,32,14,10.0,0.0,33.0,19.0,7.0,7.0,14.0,18.0,2,2
63,1,1,73,23,27,7,7.0,1.0,25.0,11.0,6.0,5.0,13.0,9.0,48,12,52,12,1.0,1.0,5.0,6.0,1.0,1.0,7.0,3.0,3,1
112,4,0,66,43,34,13,13.0,4.0,22.0,31.0,2.0,3.0,10.0,15.0,53,31,47,21,1.0,2.0,33.0,27.0,4.0,14.0,10.0,13.0,1,1
82,1,0,69,87,31,30,8.0,9.0,35.0,29.0,6.0,14.0,24.0,33.0,63,73,37,26,21.0,3.0,36.0,30.5,5.0,16.0,28.0,44.0,4,2
16,1,0,52,29,48,17,6.0,7.0,18.0,20.0,1.0,0.0,15.0,11.0,68,35,32,14,5.0,0.0,27.0,18.0,8.0,1.0,9.0,4.0,3,1
35,1,1,54,28,46,13,2.0,4.0,29.0,16.0,8.0,6.0,8.0,5.0,63,15,37,8,0.0,3.0,15.0,18.0,10.0,3.0,8.0,5.0,3,1
10,1,1,75,44,25,12,1.0,1.0,35.0,29.0,6.0,10.0,17.0,22.0,57,28,43,10,7.0,2.0,36.0,30.5,1.0,4.0,18.0,22.0,4,2
77,1,0,61,48,39,25,3.0,3.0,35.0,29.0,3.0,3.0,25.0,41.0,58,44,42,26,13.0,2.0,36.0,30.5,7.0,23.0,14.0,20.0,4,2
113,4,1,63,73,37,31,8.0,2.0,42.0,39.0,7.0,20.0,23.0,27.0,63,71,37,31,7.0,1.0,69.0,67.0,6.0,13.0,19.0,30.0,2,2
98,3,1,65,70,35,21,16.0,3.0,51.0,38.0,3.0,7.0,18.0,25.0,62,61,38,28,4.0,5.0,62.0,34.0,3.0,9.0,44.0,57.0,1,2
8,1,0,66,23,34,7,3.0,3.0,20.0,28.0,3.0,10.0,7.0,12.0,68,26,32,10,0.0,2.0,26.0,25.0,5.0,7.0,1.0,2.0,1,1
1,1,0,69,23,31,6,0.0,0.0,12.0,10.0,1.0,1.0,14.0,10.0,53,18,47,15,4.0,4.0,22.0,14.0,6.0,5.0,14.0,11.0,3,1
23,1,1,58,29,42,16,4.0,3.0,30.0,25.0,7.0,3.0,18.0,13.0,56,24,44,14,1.0,5.0,22.0,13.0,3.0,1.0,14.0,10.0,3,1
15,1,1,69,35,31,13,5.0,6.0,29.0,32.0,9.0,16.0,4.0,11.0,56,27,44,12,1.0,7.0,33.0,32.0,6.0,13.0,11.0,15.0,2,1
20,3,0,73,43,27,10,1.0,3.0,27.0,32.0,17.0,8.0,20.0,12.0,61,41,39,21,1.0,4.0,32.0,58.0,11.0,7.0,35.0,27.0,4,1
64,2,1,64,29,36,14,2.0,1.0,20.0,10.0,9.0,4.0,15.0,10.0,53,14,47,9,0.0,2.0,13.0,16.0,8.0,1.0,15.0,10.0,3,1
46,1,1,57,63,43,34,18.0,9.0,54.0,68.0,11.0,26.0,8.0,11.0,67,67,33,22,11.0,2.0,39.0,73.0,7.0,20.0,10.0,17.0,1,2
122,1,0,63,37,37,22,5.0,4.0,35.0,29.0,0.0,0.0,10.0,22.0,55,37,45,20,4.0,4.0,36.0,30.5,4.0,11.0,31.0,42.0,4,2
83,2,0,48,39,52,24,5.0,5.0,24.0,47.0,6.0,10.0,8.0,13.0,63,45,37,19,4.0,5.0,43.0,56.0,11.0,23.0,16.0,19.0,2,2
59,1,1,61,26,39,8,5.0,5.0,27.0,21.0,5.0,12.0,12.0,18.0,48,20,52,11,1.0,4.0,17.0,24.0,2.0,4.0,4.0,5.0,1,1
62,1,1,64,33,36,11,4.0,0.0,22.0,20.0,4.0,2.0,16.0,8.0,70,25,30,10,1.0,2.0,13.0,14.0,2.0,0.0,9.0,6.0,3,1
53,1,0,54,12,46,6,0.0,6.0,5.0,22.0,1.0,1.0,3.0,8.0,73,19,27,6,2.0,0.0,14.0,13.0,6.0,12.0,8.0,9.0,2,1
24,3,1,75,42,25,12,1.0,1.0,13.0,15.0,5.0,3.0,14.0,7.0,53,30,47,13,4.0,3.0,32.0,41.0,10.0,2.0,29.0,19.0,4,1
55,1,1,64,56,36,17,21.0,7.0,48.0,29.0,7.0,20.0,21.0,30.0,56,43,44,25,5.0,5.0,22.0,33.0,3.0,6.0,8.0,12.0,1,2
90,1,1,52,48,48,27,5.0,7.0,35.0,29.0,7.0,13.0,23.0,33.0,56,41,44,24,7.0,4.0,36.0,30.5,5.0,18.0,13.0,22.0,4,2
68,1,0,68,51,32,17,3.0,4.0,35.0,29.0,4.0,10.0,14.0,25.0,62,54,38,25,7.0,9.0,36.0,30.5,4.0,7.0,22.0,28.0,4,2
32,1,0,52,11,48,2,2.0,7.0,7.0,26.0,2.0,3.0,3.0,6.0,85,18,15,3,2.0,0.0,14.0,15.0,7.0,9.0,3.0,7.0,2,1
73,2,1,64,38,36,11,1.0,6.0,22.0,17.0,12.0,5.0,16.0,12.0,64,26,36,11,4.0,3.0,31.0,20.0,12.0,3.0,13.0,9.0,3,1
43,1,0,54,22,46,14,10.0,4.0,39.0,56.0,2.0,9.0,6.0,15.0,76,41,24,13,0.0,2.0,13.0,18.0,5.0,9.0,5.0,6.0,2,1
88,2,1,69,88,31,23,12.0,6.0,72.0,59.0,5.0,8.0,20.0,28.0,72,76,28,21,28.0,2.0,53.0,41.0,4.0,17.0,13.0,25.0,1,2
0,1,1,59,20,41,8,6.0,2.0,31.0,17.0,5.0,10.0,10.0,11.0,51,14,49,11,1.0,4.0,5.0,18.0,0.0,0.0,2.0,4.0,1,1
79,2,1,59,28,41,10,1.0,7.0,23.0,33.0,18.0,7.0,8.0,7.0,66,23,34,9,0.0,4.0,9.0,27.0,14.0,6.0,3.0,2.0,3,1
113,4,0,57,32,43,16,9.0,4.0,27.0,24.0,3.0,1.0,11.0,7.0,60,44,40,14,9.0,5.0,28.0,18.0,5.0,2.0,5.0,3.0,3,1
48,1,1,64,37,36,11,4.0,5.0,25.0,22.0,7.0,13.0,7.0,12.0,53,23,47,13,1.0,3.0,11.0,25.0,1.0,3.0,5.0,8.0,2,2
99,4,0,61,36,39,16,1.0,1.0,33.0,20.0,5.0,2.0,55.0,39.0,63,55,37,16,15.0,4.0,45.0,16.0,10.0,5.0,42.0,31.0,3,2
34,2,1,66,52,34,21,7.0,5.0,34.0,57.0,10.0,3.0,13.0,6.0,59,44,41,20,5.0,2.0,27.0,47.0,19.0,2.0,19.0,14.0,4,1
69,2,0,58,37,42,21,3.0,6.0,31.0,31.0,9.0,2.0,17.0,12.0,68,49,32,16,7.0,2.0,30.0,14.0,11.0,5.0,5.0,4.0,3,1
102,4,1,67,72,33,25,26.0,7.0,62.0,34.0,16.0,3.0,87.0,56.0,59,69,41,35,13.0,3.0,51.0,24.0,5.0,2.0,39.0,24.0,3,2
102,3,0,76,46,24,9,3.0,0.0,36.0,38.0,2.0,3.0,11.0,18.0,68,40,32,19,5.0,3.0,27.0,18.0,5.0,10.0,17.0,31.0,2,2
102,3,1,63,21,37,6,4.0,4.0,21.0,16.0,7.0,13.0,6.0,9.0,62,16,38,8,0.0,6.0,18.0,29.0,4.0,5.0,8.0,23.0,1,1
123,1,1,67,64,33,25,9.0,6.0,35.0,29.0,4.0,19.0,29.0,40.0,50,68,50,48,8.0,7.0,36.0,30.5,5.0,9.0,26.0,41.0,4,2
6,1,1,67,18,33,8,0.0,0.0,8.0,10.0,6.0,11.0,3.0,3.0,50,8,50,4,2.0,6.0,7.0,34.0,0.0,2.0,3.0,7.0,1,1
91,2,0,70,29,30,10,1.0,3.0,13.0,18.0,2.0,3.0,5.0,7.0,68,34,32,8,3.0,1.0,33.0,32.0,3.0,7.0,2.0,5.0,2,1
85,2,0,57,51,43,21,8.0,3.0,37.0,51.0,2.0,6.0,17.0,33.0,74,60,26,17,7.0,4.0,34.0,36.0,4.0,11.0,5.0,11.0,2,2
66,1,0,65,43,35,18,1.0,2.0,15.0,37.0,15.0,4.0,18.0,10.0,58,48,42,26,6.0,6.0,38.0,55.0,9.0,4.0,19.0,13.0,4,1
39,1,1,69,74,31,24,9.0,3.0,55.0,50.0,4.0,15.0,35.0,56.0,69,70,31,25,7.0,2.0,38.0,30.0,1.0,4.0,20.0,33.0,2,2
56,1,1,67,36,33,15,3.0,0.0,35.0,29.0,6.0,8.0,19.0,26.0,63,31,37,12,2.0,6.0,36.0,30.5,1.0,2.0,33.0,60.0,4,2
63,1,1,73,21,27,7,8.0,1.0,27.0,14.0,5.0,11.0,1.0,1.0,58,11,42,6,0.0,3.0,4.0,22.0,0.0,0.0,0.0,0.0,2,1
99,3,0,57,49,43,29,16.0,1.0,50.0,38.0,1.0,4.0,13.0,27.0,69,54,31,19,8.0,2.0,31.0,15.0,3.0,12.0,10.0,12.0,2,2
89,2,0,64,88,36,32,9.0,9.0,52.0,37.0,1.0,7.0,13.0,26.0,65,81,35,37,15.0,2.0,61.0,52.0,5.0,18.0,39.0,56.0,2,2
51,1,0,68,34,32,12,2.0,1.0,34.0,22.0,11.0,4.0,13.0,3.0,72,50,28,10,2.0,7.0,39.0,35.0,9.0,6.0,64.0,42.0,3,1
56,1,0,61,69,39,29,14.0,9.0,46.0,63.0,3.0,9.0,16.0,30.0,66,68,34,25,6.0,6.0,44.0,50.0,7.0,15.0,11.0,16.0,1,2
85,2,1,58,56,42,30,13.0,8.0,43.0,28.0,6.0,17.0,13.0,15.0,58,50,42,24,12.0,6.0,46.0,63.0,2.0,7.0,22.0,36.0,1,2
109,3,1,68,39,32,13,2.0,0.0,13.0,22.0,7.0,16.0,6.0,13.0,69,33,31,9,0.0,2.0,18.0,48.0,1.0,5.0,8.0,12.0,2,2
110,3,1,69,31,31,10,1.0,0.0,24.0,32.0,4.0,9.0,10.0,13.0,57,23,43,15,0.0,4.0,12.0,27.0,2.0,3.0,9.0,17.0,1,1
47,2,1,59,28,41,17,8.0,2.0,23.0,21.0,2.0,1.0,5.0,4.0,64,31,36,17,7.0,3.0,20.0,23.0,2.0,2.0,10.0,7.0,4,1
44,1,0,85,46,15,7,0.0,1.0,26.0,22.0,13.0,6.0,48.0,23.0,68,39,32,17,1.0,0.0,44.0,39.0,16.0,7.0,66.0,42.0,3,1
108,4,1,70,40,30,10,5.0,3.0,23.0,21.0,2.0,2.0,18.0,11.0,66,31,34,11,1.0,1.0,10.0,12.0,6.0,1.0,11.0,9.0,3,1
8,1,0,56,27,44,13,0.0,6.0,12.0,28.0,1.0,2.0,11.0,18.0,50,26,50,20,5.0,1.0,35.0,15.0,7.0,12.0,13.0,21.0,2,2
86,2,1,58,35,42,15,6.0,5.0,24.0,14.0,4.0,2.0,16.0,11.0,74,30,26,9,4.0,1.0,17.0,16.0,3.0,0.0,8.0,4.0,3,1
79,2,0,63,34,37,17,3.0,5.0,20.0,34.0,5.0,9.0,2.0,9.0,54,35,46,18,3.0,3.0,32.0,37.0,7.0,14.0,5.0,5.0,2,1
105,3,1,78,52,22,14,5.0,1.0,24.0,40.0,5.0,18.0,15.0,20.0,67,47,33,26,3.0,2.0,47.0,59.0,3.0,11.0,17.0,31.0,2,2
68,2,0,55,27,45,16,6.0,4.0,25.0,22.0,0.0,1.0,7.0,15.0,75,40,25,6,0.0,4.0,26.0,22.0,2.0,10.0,14.0,17.0,2,1
